name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
Amaretto Liquor Quik Essence,777155152105,6.0,Homebrew,,product,product,8
"American Oak Chips, 4 oz.",888690163409,2.99,Homebrew,,product,product,1
"American Pale Ale Brewing Kit, 1 gallon with equipment",BK-APA,49.99,Homebrew,"American pale ale home beer brewing kit makes a crisp, hoppy",product,product,1
American Sour Beers,9781938469114,19.95,Homebrew,,product,product,1
Amylase Enzyme 1oz.,888690061002,2.99,Homebrew,,product,product,8
"Amylase Enzyme, 1 lb",888690161009,13.99,Homebrew,,product,product,1
Annatto Cheese Coloring,815679000158,4.95,Homebrew,,product,product,2
Apricot Brewer’s Best Natural Flavoring 4 oz,888690337008,5.99,Homebrew,,product,product,0
Ascorbic Acid 1 lb,888690261303,24.99,Homebrew,,product,product,0
Ascorbic Acid 1 oz,W259160,2.99,Homebrew,,product,product,2
Aurora Amber by Brewmaster Beer Ingredient Kit Makes 5 Gal,4607592,42.99,Homebrew,,product,product,0
B.S. Remover,682500998614,6.5,Homebrew,,product,product,0
Baird’s Crystal 50/60L,9627465,0.22,Homebrew,,product,product,64
Banana Brewers Best Natural flavoring 4oz,888690037052,5.99,Homebrew,,product,product,0
Baster for sampling,825392000304,6.99,Homebrew,,product,product,0
Beaker - 150 ml,843200120303,6.99,Homebrew,,product,product,0
Beer Bottle Brush,K705408,3.99,Homebrew,,product,product,0
"Beer Bottles, 22 oz, 12 ct",T947094,15.99,Homebrew,,product,product,3
Beer dispensing Unit (BallL),622711000355,21.99,Homebrew,,product,product,0
"Beer Equipment Kit, Basic 5 Gal.",888690010000,99.99,Homebrew,,product,product,0
Beer Faucet Cap,X179653,0.75,Homebrew,,product,product,1
"Beer Faucet, Standard R",8906016672038,22.0,Homebrew,,product,product,4
"Beer Line Cleaner 4 oz,",362814G,4.5,Homebrew,,product,product,1
"Bentonite, 8 oz",888690161504,3.99,Homebrew,,product,product,2
"Beta Glucanase, 1 oz",888690061057,2.99,Homebrew,,product,product,1
Birch Beer Cascade,C229743,11.99,Homebrew,,product,product,4
Biscuit Malt,3023,0.2,Homebrew,,product,product,340
Black Currant Brewers Best Natural flavoring,888690037113,5.99,Homebrew,,product,product,1
"Black Liquid QD, 1/4 barb, Ball Lock",9341779,4.99,Homebrew,,product,product,2
"Black Liquid QD, MFL",7696995,4.99,Homebrew,,product,product,4
Black Patent Malt,3019,0.2,Homebrew,,product,product,0
Black PVC Shrink Capsules 30 ct,888690145856,3.99,Homebrew,,product,product,0
Blonde Ale by Brewmaster Beer Ingredient Kit Makes 5 Gal,878383R,35.99,Homebrew,,product,product,1
